Message,Payload,Attachment,Pin,Issuer,Date
cc||||Client|Tue Aug 17 2021 09:06:09
Send message||||Bot|Tue Aug 17 2021 09:06:19
Send message||||Bot|Tue Aug 17 2021 09:06:21
|Mes comptes|||Client|Tue Aug 17 2021 09:06:26
Send message||||Bot|Tue Aug 17 2021 09:06:32
|Consultation|||Client|Tue Aug 17 2021 09:06:48
Send message||||Bot|Tue Aug 17 2021 09:06:54
|Mon solde|||Client|Tue Aug 17 2021 09:07:18
Send message||||Bot|Tue Aug 17 2021 09:07:24
|||xxxx|Client|Tue Aug 17 2021 09:07:50
Send message||||Bot|Tue Aug 17 2021 09:08:08
Send message||||Bot|Tue Aug 17 2021 09:08:16
Send message||||Bot|Tue Aug 17 2021 09:08:19
|Mes comptes|||Client|Tue Aug 17 2021 09:52:46
Send message||||Bot|Tue Aug 17 2021 09:52:54
|Envoi d'argent|||Client|Tue Aug 17 2021 09:52:59
Send message||||Bot|Tue Aug 17 2021 09:53:05
|Vers mon compte|||Client|Tue Aug 17 2021 09:53:18
Send message||||Bot|Tue Aug 17 2021 09:53:24
|||xxxx|Client|Tue Aug 17 2021 09:53:49
Send message||||Bot|Tue Aug 17 2021 09:54:19
3||||Client|Tue Aug 17 2021 09:54:36
Send message||||Bot|Tue Aug 17 2021 09:54:42
1||||Client|Tue Aug 17 2021 09:54:56
Send message||||Bot|Tue Aug 17 2021 09:55:02
10000||||Client|Tue Aug 17 2021 09:55:08
Send message||||Bot|Tue Aug 17 2021 09:55:16
loyer||||Client|Tue Aug 17 2021 09:55:22
Send message||||Bot|Tue Aug 17 2021 09:55:28
Send message||||Bot|Tue Aug 17 2021 09:55:31
|||xxxx|Client|Tue Aug 17 2021 09:55:39
Send message||||Bot|Tue Aug 17 2021 09:56:12
Send message||||Bot|Tue Aug 17 2021 09:56:17
Send message||||Bot|Tue Aug 17 2021 09:56:19
|Mes comptes|||Client|Tue Aug 17 2021 10:20:20
Send message||||Bot|Tue Aug 17 2021 10:20:26
|Envoi d'argent|||Client|Tue Aug 17 2021 10:22:07
|Envoi d'argent|||Client|Tue Aug 17 2021 10:22:08
Send message||||Bot|Tue Aug 17 2021 10:22:14
Send message||||Bot|Tue Aug 17 2021 10:22:14
|Vers mon compte|||Client|Tue Aug 17 2021 10:22:18
Send message||||Bot|Tue Aug 17 2021 10:22:24
|||xxxx|Client|Tue Aug 17 2021 10:22:35
Send message||||Bot|Tue Aug 17 2021 10:22:57
1||||Client|Tue Aug 17 2021 10:23:05
Send message||||Bot|Tue Aug 17 2021 10:23:11
Send message||||Bot|Tue Aug 17 2021 10:23:12
