Message,Payload,Attachment,Pin,Issuer,Date
coucou||||Client|Mon Sep 13 2021 15:45:08
Send message||||Bot|Mon Sep 13 2021 15:45:20
Send message||||Bot|Mon Sep 13 2021 15:45:22
coucou||||Client|Mon Sep 13 2021 15:54:13
Send message||||Bot|Mon Sep 13 2021 15:54:26
Send message||||Bot|Mon Sep 13 2021 15:54:28
coucou||||Client|Mon Sep 13 2021 16:10:26
Send message||||Bot|Mon Sep 13 2021 16:10:37
Send message||||Bot|Mon Sep 13 2021 16:10:42
|Mes comptes|||Client|Mon Sep 13 2021 16:10:53
Send message||||Bot|Mon Sep 13 2021 16:10:59
|Consultation|||Client|Mon Sep 13 2021 16:11:55
Send message||||Bot|Mon Sep 13 2021 16:12:02
|Mon solde|||Client|Mon Sep 13 2021 16:12:20
Send message||||Bot|Mon Sep 13 2021 16:12:25
coucou||||Client|Mon Sep 13 2021 16:16:20
Send message||||Bot|Mon Sep 13 2021 16:16:29
Send message||||Bot|Mon Sep 13 2021 16:16:31
Entrer mon code||||Client|Mon Sep 13 2021 16:16:49
Send message||||Bot|Mon Sep 13 2021 16:16:55
Send message||||Bot|Mon Sep 13 2021 16:16:56
couco||||Client|Mon Sep 13 2021 16:17:45
Send message||||Bot|Mon Sep 13 2021 16:19:19
Send message||||Bot|Mon Sep 13 2021 16:19:20
0||||Client|Mon Sep 13 2021 16:20:52
Send message||||Bot|Mon Sep 13 2021 16:21:32
Send message||||Bot|Mon Sep 13 2021 16:21:38
Send message||||Bot|Mon Sep 13 2021 16:21:40
coucou||||Client|Mon Sep 13 2021 16:22:12
Send message||||Bot|Mon Sep 13 2021 16:22:20
Send message||||Bot|Mon Sep 13 2021 16:22:22
