Message,Payload,Attachment,Pin,Issuer,Date
cc||||Client|Tue Sep 14 2021 16:50:25
cc||||Client|Tue Sep 14 2021 17:03:29
Send message||||Bot|Tue Sep 14 2021 17:03:36
hello||||Client|Tue Sep 14 2021 17:14:08
hello||||Client|Tue Sep 14 2021 17:14:56
Send message||||Bot|Tue Sep 14 2021 17:15:19
Send message||||Bot|Tue Sep 14 2021 17:15:21
cc||||Client|Tue Sep 14 2021 17:17:03
Send message||||Bot|Tue Sep 14 2021 17:17:05
cc||||Client|Tue Sep 14 2021 17:19:48
Send message||||Bot|Tue Sep 14 2021 17:19:54
coucoucouocu||||Client|Tue Sep 14 2021 17:22:41
Send message||||Bot|Tue Sep 14 2021 17:22:46
akory||||Client|Tue Sep 14 2021 17:24:47
Send message||||Bot|Tue Sep 14 2021 17:24:52
hello||||Client|Tue Sep 14 2021 17:27:33
Send message||||Bot|Tue Sep 14 2021 17:27:40
coucou||||Client|Tue Sep 14 2021 17:30:38
Send message||||Bot|Tue Sep 14 2021 17:30:41
bonjour||||Client|Tue Sep 14 2021 17:34:17
Send message||||Bot|Tue Sep 14 2021 17:34:22
hello||||Client|Tue Sep 14 2021 17:35:29
Send message||||Bot|Tue Sep 14 2021 17:35:34
coucououuo||||Client|Tue Sep 14 2021 17:36:38
Send message||||Bot|Tue Sep 14 2021 17:36:43
coucou||||Client|Tue Sep 14 2021 17:37:05
Send message||||Bot|Tue Sep 14 2021 17:37:13
Send message||||Bot|Tue Sep 14 2021 17:37:15
coucou||||Client|Tue Sep 14 2021 17:47:23
Send message||||Bot|Tue Sep 14 2021 17:47:31
Send message||||Bot|Tue Sep 14 2021 17:47:33
coucou||||Client|Tue Sep 14 2021 17:48:29
Send message||||Bot|Tue Sep 14 2021 17:48:35
caca||||Client|Tue Sep 14 2021 17:50:40
Send message||||Bot|Tue Sep 14 2021 17:50:45
caca||||Client|Tue Sep 14 2021 17:52:27
Send message||||Bot|Tue Sep 14 2021 17:52:32
hellll||||Client|Tue Sep 14 2021 17:54:16
Send message||||Bot|Tue Sep 14 2021 17:54:22
coucou$||||Client|Tue Sep 14 2021 17:58:15
Send message||||Bot|Tue Sep 14 2021 17:58:21
coucouou||||Client|Tue Sep 14 2021 17:59:38
Send message||||Bot|Tue Sep 14 2021 17:59:43
coucocuouc||||Client|Tue Sep 14 2021 18:01:08
Send message||||Bot|Tue Sep 14 2021 18:01:13
heee||||Client|Tue Sep 14 2021 18:03:08
Send message||||Bot|Tue Sep 14 2021 18:03:13
hey||||Client|Tue Sep 14 2021 18:04:38
Send message||||Bot|Tue Sep 14 2021 18:04:44
heyyyy||||Client|Tue Sep 14 2021 18:06:21
Send message||||Bot|Tue Sep 14 2021 18:06:26
akory||||Client|Tue Sep 14 2021 18:07:53
Send message||||Bot|Tue Sep 14 2021 18:08:00
hey||||Client|Tue Sep 14 2021 18:09:42
Send message||||Bot|Tue Sep 14 2021 18:09:47
hey||||Client|Tue Sep 14 2021 18:11:21
Send message||||Bot|Tue Sep 14 2021 18:11:27
|Start_re_activation|||Client|Tue Sep 14 2021 18:11:43
Send message||||Bot|Tue Sep 14 2021 18:11:50
|WELCOME_NEW_CLIENT_TO_MY_ACCES|||Client|Tue Sep 14 2021 18:11:55
Send message||||Bot|Tue Sep 14 2021 18:12:01
