Message,Payload,Attachment,Pin,Issuer,Date
Cc||||Client|Fri Sep 10 2021 09:59:48
Send message||||Bot|Fri Sep 10 2021 09:59:56
Send message||||Bot|Fri Sep 10 2021 09:59:58
Cc||||Client|Fri Sep 10 2021 10:00:18
Send message||||Bot|Fri Sep 10 2021 10:00:26
Send message||||Bot|Fri Sep 10 2021 10:00:28
|Mes comptes|||Client|Fri Sep 10 2021 10:00:32
Send message||||Bot|Fri Sep 10 2021 10:00:36
|Consultation|||Client|Fri Sep 10 2021 10:00:40
Send message||||Bot|Fri Sep 10 2021 10:00:44
|Mon solde|||Client|Fri Sep 10 2021 10:00:47
Send message||||Bot|Fri Sep 10 2021 10:00:51
0||||Client|Fri Sep 10 2021 10:00:57
Send message||||Bot|Fri Sep 10 2021 10:01:01
Send message||||Bot|Fri Sep 10 2021 10:01:03
Send message||||Bot|Fri Sep 10 2021 10:01:04
